gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
RRP8,0.09707585331599589,3.9128482728045095,1.1590263378677224,0.2811590371791132,0.3657994045797251,-7.078861943629041
RP11-73M18.2,0.41161146457788167,2.867108765305792,1.1586525538745527,0.28130250876694307,0.3659423433135569,-6.79861546843332
NANP,0.1233818184643587,3.3417188790470598,1.1586311491897539,0.2813107264560242,0.3659423433135569,-6.919985953709919
SENP2,0.05301130861375558,6.021824143334306,1.1582592639487137,0.28145353197987133,0.36607368486069336,-7.464425094396223
HTR7P1,0.12626992065981835,3.014211954018466,1.1580512973981418,0.28153341783353875,0.3661424236145052,-6.835478213506215
KLLN,0.2654827540411011,1.7216774996570159,1.1576785802440392,0.28167663539676213,0.36628219089008995,-6.5659358307415605
PAK5,0.1984112859638451,0.22951319511957538,1.1573671945848392,0.28179633177330843,0.3664106115099661,-6.322378270332686
C9orf85,0.1070621242116725,3.6714119521035204,1.1565976000897744,0.2820923413719727,0.3667682503654172,-7.013306639443288
RPRD1B,0.06615327615229916,5.443090694680589,1.15631578553599,0.2822007993390873,0.3668547498428563,-7.416142860783509
PCDHB1,0.246468082294369,1.6146277056103528,1.156215779540414,0.28223929540722387,0.36687753902325143,-6.549214866212316
GBP1P1,0.38979226920374976,-0.997890137452206,1.1558248833757068,0.28238980715344564,0.36704592107094597,-6.128067281738154
LDHAL6A,0.2365498699751959,-0.32627108018182105,1.1551529113945302,0.28264869816866467,0.36725301182489606,-6.233846419778009
NXF3,0.4759288572890905,-1.4484345760388766,1.1537808606192526,0.2831779101696461,0.36785169995238937,-6.063020834830694
CNDP1,0.25081993590767854,0.2878509296679788,1.1535299314447474,0.2832747830924236,0.3679502248615143,-6.336278261361108
OR11A1,0.5683363286827297,-0.6560921642300153,1.1534323476998627,0.2833124632600201,0.3679718544189929,-6.1834010628105265
FUT8,0.08083067970076918,4.647722502477158,1.1532158819319047,0.28339606211871043,0.3680531164476261,-7.280509440131077
OSGEP,0.10015788582164209,5.551019352314917,1.152697730788571,0.2835962532393375,0.3682857762846135,-7.432637975595843
KLHL14,0.8293189561778167,3.258104118709188,1.1510709964177435,0.28422550181408046,0.3690755458774558,-6.90602097938115
RP11-154D6.2,0.2963990249982891,-1.635929985290199,1.1505714589885276,0.28441895950881685,0.36927195225143095,-6.039152575308304
SUN1,0.0715961570282575,7.513571536753731,1.1504948866727382,0.28444862342802335,0.3692830670945159,-7.499767046637625
UBXN1,0.07051575587191294,6.201360209487207,1.1487509735765107,0.2851248932130778,0.37007866090607094,-7.483792396108458
PIAS1,0.056942430359340435,6.170013655549817,1.1474807493475236,0.28561829506879444,0.37066408672566253,-7.483859668075896
RASSF10,0.37014204003262824,-0.20423947955532257,1.1473635224290843,0.28566386531117144,0.37069573445162696,-6.262113147058525
PSMB9,0.37034576524674867,-0.21383622787166096,1.1467908098676085,0.28588658394180166,0.3709297347369754,-6.261183023868317
DAP3,0.052096572996308765,6.352370208854998,1.1465226761154954,0.2859909053390137,0.3709825687566643,-7.4918901573055905
SCX,0.18469716831377375,0.43759125378940017,1.1449381431047059,0.2866080234249402,0.37167287697591733,-6.370535481732359
CH507-9B2.5,0.07995075764113757,4.773342123059276,1.143956754694031,0.2869907810584462,0.372114084005761,-7.318235227824
DOLK,0.10566896497726841,4.298738053201198,1.1436635141206257,0.2871052302657867,0.37221114398490235,-7.203739912101268
CALM1,0.06981448069725626,7.604766648637512,1.1435648722992173,0.2871437376311093,0.3722278564116525,-7.506942570512213
LRRC8B,0.1100458492392189,4.357814808379915,1.143145164721731,0.28730762815514443,0.3723593678778605,-7.220069613855623
CAPN10,0.07338521744973381,5.13432079320598,1.1428968905010028,0.2874046118721841,0.3724123936251812,-7.386649192279704
RP11-334L9.1,0.3303053904125688,-1.3041938164898916,1.14247486485237,0.28756952936821323,0.3725884195479315,-6.096647893228274
NUDT17,0.25935360114676764,1.0637413421744049,1.142230718444446,0.2876649710072086,0.3726844841678495,-6.474853748840032
CEP350,0.07751172246711846,6.491078536118566,1.1421315563402732,0.2877037427704935,0.3727071213163211,-7.500548160477676
XXbac-BPG32J3.20,2.005091928875883,-3.46484343508642,1.1403969911554441,0.288382633305253,0.37342072666927795,-5.795481984161487
NOL11,0.05613801357241144,5.999477819115801,1.140297232501666,0.2884217172915646,0.37344370187828996,-7.48306793646282
AXDND1,0.25309696372562973,-0.9349629710255085,1.1401040905708555,0.2884973997000713,0.37351405721748654,-6.154831010685962
SMARCE1,0.06066595276689668,8.04382361226224,1.1389855356352738,0.2889360208500727,0.3740542597362893,-7.508286524267412
CPTP,0.0898061725954662,3.8876186241390585,1.1388319751355793,0.2889962790321471,0.37410459289714026,-7.094021025798808
LMBRD2,0.0801477232520087,4.476403763158366,1.137344160903616,0.28958063522375765,0.3748055869660159,-7.256997946683572
USH2A,0.28735063930885407,-0.6664366618886527,1.1369199504594367,0.2897474241230002,0.3749937264054715,-6.199811706242743
WASL,0.06762122495530498,6.429588146591408,1.1364112248999494,0.2899475448920643,0.3752249732337105,-7.505261087113743
GDI2,0.061004894338946514,8.242463722591971,1.13492140532423,0.2905342493730381,0.3758977843222515,-7.510298135970899
FJX1,0.14777896757535025,5.832502751848878,1.1348831686470158,0.290549319969397,0.3758977843222515,-7.477993068107696
AC011330.5,1.2518407560952753,0.5674772075009538,1.1342324828560966,0.29080587819071724,0.376120739540473,-6.403676418708693
TGFB2,0.0658102687261195,8.302762291714275,1.1341969124033315,0.29081990851298395,0.376120739540473,-7.510240217186772
NEURL2,0.22084393140342184,2.268088515264208,1.1336524023900854,0.2910347521149504,0.37635361567096637,-6.6939567261015345
RP11-577H5.5,0.30911093840879467,3.7582286385865133,1.13302513848808,0.2912824065664472,0.3766182084015265,-7.0637671317070225
POMK,0.15434423405627573,2.1670600647237466,1.13262084173385,0.29144212015928056,0.3767968718631142,-6.675156818349208
PBX4,0.1405585455378464,1.589381793811944,1.1325397012716762,0.2914741824638138,0.3768104845548373,-6.570945225562436
NDUFB11,0.07118557329091324,5.4762024789277755,1.1317310817537733,0.2917938609311955,0.3770844673535921,-7.447321259354274
AP4B1,0.10130010945916679,4.025134847015954,1.1313677939821485,0.29193757488722716,0.37721447411589665,-7.141270574253882
AMY2B,0.21112699352893793,3.500009993276257,1.131011548182092,0.2920785586740311,0.3773687757115232,-6.9936977937133395
ERRFI1,0.07286081327037142,6.2622427219674925,1.1303127183692494,0.2923552795288835,0.37767053273851564,-7.5065285288440124
TRAPPC13,0.07117364495242118,4.530637255874129,1.1301118586632592,0.2924348546468142,0.3776896834795631,-7.278368943752705
SPDYE2B,0.30418288288396567,-1.4175738050550204,1.1298005744106319,0.29255821153758993,0.3777932361963166,-6.093599979857058
CD46,0.08852625227256805,7.459505563490948,1.1292879845415043,0.2927614342156785,0.37802776987456893,-7.52331153460008
FCGR2A,0.3823781670268973,-0.9624039683439042,1.1288884077640766,0.29291993054573173,0.37817661683781606,-6.162791135845424
CXorf23,0.10461208374290898,4.148556360711435,1.1287856840941475,0.2929606881703331,0.3782013339942943,-7.178799120624201
TFB2M,0.11381359194637275,3.920675330857651,1.1275939106249908,0.29343388258138847,0.37870045809364383,-7.115726487184394
TRPM4,0.11536441139592313,4.637411561246804,1.1268508497211018,0.29372922765631676,0.3789698263479973,-7.307200559188228
NBPF19,0.18463584943053402,6.343327511725587,1.1267308360277954,0.2937769521102616,0.3790034565745701,-7.513348914997811
RILPL2,0.09414714773966448,4.327724443735739,1.1258314760747796,0.2941347893991835,0.37938119552563665,-7.23103076136804
PPP1R3B,0.10162725057795452,5.404716029095582,1.125341485973719,0.2943298946184069,0.37954891863872536,-7.445373070391505
AMT,0.07186630244081904,4.492146375225261,1.1249479305465298,0.2944866768984653,0.37972311244906376,-7.2744703787421425
ADORA2A,0.4829313254095673,0.5395894432682731,1.1248343340401823,0.29453194333046534,0.37975349810932896,-6.4092897563895805
CLCNKA,0.1260459998525767,3.3020012639871514,1.124582298193405,0.2946323957182508,0.3798550278253644,-6.946782018766538
CELP,0.30124543597410247,-0.6083344247150456,1.1240704290285939,0.2948364933405885,0.3800901574308942,-6.222827436257951
RP11-47I22.4,0.20881255782208474,1.9194292771116201,1.1238793958295736,0.2949126932322141,0.380115778225732,-6.637985243890757
NLRP12,0.3268382889728229,-0.23453303839428896,1.123857234951132,0.2949215338574069,0.380115778225732,-6.28275655896121
ATF1,0.07101371945403745,4.573786079293262,1.123435462829414,0.2950898318858224,0.38030468170349135,-7.296023812041396
TOMM40L,0.10888614948861086,3.535396306497253,1.122901011877329,0.29530320291541196,0.3804956003104922,-7.012344654284528
YY2,0.20644288961324175,1.3951301583710845,1.1221343470332243,0.2956094987914351,0.3808341764964531,-6.5498563063275945
TEX10,0.053025720920143904,5.872796198386503,1.12195223190781,0.29568229455861605,0.3808958990474084,-7.494983372170731
CPNE5,0.15399240679754111,4.166818264876077,1.1219055862729006,0.29570094225721716,0.3808958990474084,-7.191405673474034
WDR77,0.06308620593806147,5.78061070596379,1.1217377846905658,0.29576803275542957,0.38091561571755916,-7.488293076735577
RNF213,0.08246031659937092,6.362934438186545,1.1217363096297561,0.29576862256923453,0.38091561571755916,-7.519396298156161
NOL12,0.1257514695172537,3.4731052030927376,1.1216977911399038,0.29578402480337856,0.38091561571755916,-6.996404190075307
MRPL35,0.06678601586591171,5.105911225715108,1.1216495385044656,0.29580332030321227,0.38091561571755916,-7.405200910103898
C1orf111,0.23365623842526284,-1.0377025556698554,1.1213861944360244,0.29590864549008256,0.3810232073164794,-6.159415410474719
